disease_2,disease_name,category,count,co_occurrence,odds_ratio,p_value,95_ci_lower,95_ci_upper
461 ,Acute sinusitis,Diseases of the respiratory system,5338,850,7.06,< 0.0001,6.55,7.61
478 ,Other diseases of upper respiratory...,Diseases of the respiratory system,2539,394,6.7,1.89451e-170,6,7.47
472 ,Chronic pharyngitis and nasopharyngitis,Diseases of the respiratory system,3445,477,5.88,4.90497e-185,5.33,6.49
443 ,Other peripheral vascular disease,Diseases of the circulatory system,1210,163,5.62,1.924981e-62,4.73,6.64
346 ,Migraine,Diseases of the nervous system,2104,271,5.36,3.573144e-98,4.7,6.1
477 ,Allergic rhinitis,Diseases of the respiratory system,11687,1411,5.24,< 0.0001,4.94,5.55
473 ,Chronic sinusitis,Diseases of the respiratory system,1649,203,5.08,1.577854e-70,4.36,5.89
848.0 ,Sprain of septal cartilage of...,Injury and poisoning,1714,205,4.91,4.822244e-69,4.22,5.69
492 ,Emphysema,Diseases of the respiratory system,5607,644,4.78,4.0529e-205,4.39,5.2
519 ,Other diseases of respiratory...,Diseases of the respiratory system,1479,169,4.66,1.99156e-54,3.94,5.47
466 ,Acute bvronchitis and bronchiolitis,Diseases of the respiratory system,22093,2310,4.63,< 0.0001,4.42,4.85
691 ,Atopic dermatitis and related...,Diseases of the skin and subcutaneous...,1876,212,4.61,5.18225e-67,3.97,5.32
478.8 ,Upper respiratory tract hypersensitivity...,Diseases of the respiratory system,1912,210,4.46,2.836119e-64,3.84,5.15
493 ,Asthma,Diseases of the respiratory system,14641,1461,4.22,< 0.0001,3.99,4.47
535 ,Gastritis and duodenitis,Diseases of the digestive system,19491,1879,4.14,< 0.0001,3.93,4.35
465 ,Acute upper respiratory infections...,Diseases of the respiratory system,48850,4208,4.07,< 0.0001,3.92,4.21
491 ,Chronic bronchitis,Diseases of the respiratory system,22176,2042,3.96,< 0.0001,3.77,4.15
528 ,"Disease of the oral soft tissues,...",Diseases of the digestive system,1394,135,3.86,4.449803e-36,3.21,4.62
