disease_2,disease_name,category,count,co_occurrence,odds_ratio,p_value,95_ci_lower,95_ci_upper
174 ,Malignant female breast neoplasm,Neoplasms,2164,295,28.58,1.69124e-297,25.13,32.38
219 ,Other benign neoplasm of uterus,Neoplasms,2302,136,11.18,3.994299e-89,9.32,13.32
174.9 ,"Malignant neoplasm of breast (female),...",Neoplasms,5768,260,8.5,4.49514e-141,7.46,9.64
610 ,Benign mammary dysplasias,Diseases of the genitourinary...,6963,305,8.28,5.91006e-162,7.35,9.31
239.3 ,Neoplasm of unspecified nature...,Neoplasms,10855,403,7.03,2.30689e-188,6.33,7.78
217 ,Benign neoplasm of breast,Neoplasms,87301,2589,6.91,< 0.0001,6.6,7.23
629 ,Other disorders of female genital...,Diseases of the genitourinary...,26681,925,6.86,< 0.0001,6.4,7.35
246 ,Other disorders of thyroid,"Endocrine, nutritional and metabolic...",6011,221,6.84,9.14469e-103,5.95,7.84
610.0 ,Solitary cyst of breast,Diseases of the genitourinary...,5933,203,6.34,4.898095e-89,5.48,7.31
659 ,Failed mechanical induction of...,"Complications of pregnancy, childbirth,...",2042,70,6.28,8.122411e-32,4.87,7.98
238.3 ,Neoplasm of uncertain behavior...,Neoplasms,3400,116,6.27,2.029779e-51,5.16,7.56
070 ,Viral hepatitis,Infectious and parasitic diseases,2825,95,6.17,6.647718e-42,4.97,7.58
610.2 ,Fibroadenosis of breast,Diseases of the genitourinary...,13827,421,5.72,8.16905e-166,5.17,6.32
611.9 ,Unspecified breast disorder,Diseases of the genitourinary...,53595,1374,5.21,< 0.0001,4.91,5.52
353 ,Nerve root and plexus disorders,Diseases of the nervous system,1977,56,5.15,6.742434e-22,3.87,6.72
571 ,Chronic liver disease and cirrhosis,Diseases of the digestive system,6336,174,5.04,1.168179e-62,4.3,5.87
610.1 ,Diffuse cystic mastopathy,Diseases of the genitourinary...,27498,691,4.8,2.50144e-226,4.43,5.19
611.72 ,Lump or mass in breast,Diseases of the genitourinary...,54738,1269,4.64,< 0.0001,4.37,4.92
216 ,Benign neoplasm of skin,Neoplasms,9781,245,4.61,8.111273e-80,4.04,5.24
455 ,Hemorrhoids,Diseases of the circulatory system,10830,266,4.52,9.034226e-85,3.98,5.12
285 ,Other and unspecified anemias,Diseases of the blood and blood-forming...,3163,75,4.3,3.878282e-24,3.37,5.41
215 ,Other benign neoplasm of connective...,Neoplasms,2144,50,4.22,2.342058e-16,3.12,5.58
722.1 ,Displacement of thoracic or lumbar...,Diseases of the musculoskeletal...,3341,75,4.06,9.21063e-23,3.18,5.11
