disease_2,disease_name,category,count,co_occurrence,odds_ratio,p_value,95_ci_lower,95_ci_upper
296.30 ,"Major depressive affective disorder,...",Mental disorders,1272,516,22.19,< 0.0001,19.78,24.86
296.20 ,"Major depressive affective disorder,...",Mental disorders,1957,741,20.02,< 0.0001,18.23,21.97
296 ,Disorganized type,Mental disorders,1548,445,13.07,6.7306e-290,11.67,14.61
307.42 ,Persistent disorder of initiating...,Mental disorders,4995,1379,12.89,< 0.0001,12.08,13.73
296.2 ,"Major depressive disorder, single...",Mental disorders,1547,425,12.26,5.65018e-268,10.93,13.73
300.02 ,Generalized anxiety disorder,Mental disorders,7947,1835,10.35,< 0.0001,9.79,10.92
296.90 ,Unspecified episodic mood disorder,Mental disorders,2038,477,9.9,2.09731e-266,8.91,10.99
300.89 ,Other somatoform disorders,Mental disorders,3536,804,9.68,< 0.0001,8.92,10.49
300.5 ,Neurasthenia,Mental disorders,1798,412,9.61,2.33572e-226,8.58,10.74
537.89 ,Other specified disorders of stomach...,Diseases of the digestive system,1705,376,9.13,2.05309e-200,8.11,10.25
311 ,"Depressive disorder, not elsewhere...",Mental disorders,5078,1090,9.1,< 0.0001,8.49,9.74
307.4 ,Specific disorders of sleep of...,Mental disorders,2816,585,8.54,1.12198e-296,7.77,9.36
294.9 ,Unspecified persistent mental...,Mental disorders,1567,314,8.06,8.6758e-155,7.1,9.14
307.40 ,"Nonorganic sleep disorder, unspecified",Mental disorders,4685,838,7.16,< 0.0001,6.63,7.73
780.5 ,Sleep disturbance,"Comorbidities, signs, and ill-defined...",22478,3508,6.84,< 0.0001,6.58,7.11
300.0 ,Anxiety states,Mental disorders,18919,2959,6.68,< 0.0001,6.41,6.97
290.9 ,Unspecified senile psychotic condition,Mental disorders,1355,224,6.35,2.44682e-93,5.47,7.34
300.00 ,"Anxiety state, unspecified",Mental disorders,47033,6075,6.21,< 0.0001,6.01,6.41
780.50 ,"Sleep disturbance, unspecified","Comorbidities, signs, and ill-defined...",21234,2968,5.84,< 0.0001,5.6,6.09
300.9 ,Unspecified nonpsychotic mental...,Mental disorders,31802,4219,5.82,< 0.0001,5.61,6.03
332.1 ,Secondary parkinsonism,Diseases of the nervous system,4470,663,5.68,2.33693e-246,5.21,6.17
300.09 ,Other anxiety states,Mental disorders,5418,797,5.65,6.30336e-294,5.23,6.1
719.89 ,"Other specified disorders of joint,...",Diseases of the musculoskeletal...,1444,214,5.57,3.468402e-80,4.79,6.45
300 ,Neurotic disorders,Mental disorders,16370,2228,5.47,< 0.0001,5.22,5.74
306.4 ,Gastrointestinal malfunction arising...,Mental disorders,1633,238,5.47,1.726125e-87,4.74,6.28
307.41 ,Transient disorder of initiating...,Mental disorders,4509,633,5.32,5.10284e-222,4.87,5.79
780.59 ,Other sleep disturbances,"Comorbidities, signs, and ill-defined...",4757,649,5.14,9.86108e-221,4.72,5.6
332.0 ,Paralysis agitans,Diseases of the nervous system,7196,963,5.09,< 0.0001,4.75,5.46
332 ,Parkinson's disease,Diseases of the nervous system,2272,308,5.04,1.91155e-104,4.45,5.69
780.52 ,"Insomnia, unspecified","Comorbidities, signs, and ill-defined...",64177,6716,4.98,< 0.0001,4.83,5.13
437.1 ,Other generalized ischemic cerebrovascular...,Diseases of the circulatory system,1509,200,4.89,1.019345e-66,4.19,5.68
298.9 ,Unspecified psychosis,Mental disorders,1536,201,4.82,4.144249e-66,4.13,5.59
402.0 ,"Hypertensive heart disease, malignant",Diseases of the circulatory system,1486,192,4.75,2.445289e-62,4.05,5.53
290.0 ,"Senile dementia, uncomplicated",Mental disorders,5020,615,4.54,4.29838e-185,4.16,4.94
386.2 ,Vertigo of central origin,Diseases of the nervous system,9169,1096,4.49,< 0.0001,4.21,4.79
346.1 ,Common migraine,Diseases of the nervous system,2307,281,4.45,1.517615e-84,3.91,5.05
290 ,Senile and presenile organic psychotic...,Mental disorders,1861,220,4.29,3.178228e-64,3.71,4.95
306 ,Physiological malfunction arising...,Mental disorders,1931,221,4.14,5.063301e-62,3.58,4.77
303.90 ,Other and unspecified alcohol...,Mental disorders,1204,138,4.13,1.936068e-39,3.43,4.94
571.41 ,Chronic persistent hepatitis,Diseases of the digestive system,6641,731,4.03,8.07089e-193,3.72,4.36
533.70 ,Chronic peptic ulcer of unspecified...,Diseases of the digestive system,15426,1644,4.02,< 0.0001,3.81,4.24
306.2 ,Cardiovascular malfunction arising...,Mental disorders,2293,255,4.01,8.414165e-69,3.5,4.57
